track_name,artists,streams,released_year
Until I Found You (with Em Beihold) - Em Beihold Version,Em Beihold,600976848,2022
Until I Found You (with Em Beihold) - Em Beihold Version,Stephen Sanchez,600976848,2022
Novidade na ??,Mc Livinho,39709092,2023
Novidade na ??,DJ Matt D,39709092,2023
Back To December (Taylor's Version),Taylor Swift,39228929,2023
STAY (with Justin Bieber),Justin Bieber,2665343922,2021
STAY (with Justin Bieber),The Kid Laroi,2665343922,2021
El Merengue,Marshmello,223633238,2023
El Merengue,Manuel Turizo,223633238,2023
Someone You Loved,Lewis Capaldi,2887241814,2018
Me Porto Bonito,Chencho Corleone,1440757818,2022
Me Porto Bonito,Bad Bunny,1440757818,2022
Makeba,Jain,165484133,2015
MONTAGEM - FR PUNK,Ayparia,58054811,2012
MONTAGEM - FR PUNK,unxbected,58054811,2012
Fast Car,Luke Combs,157058870,2023
What It Is (Solo Version),Doechii,95131998,2023
Coco Chanel,Bad Bunny,250305248,2023
Coco Chanel,Eladio Carrion,250305248,2023
Don???t Bl,Taylor Swift,685032533,2017
Still With You,Jung Kook,38411956,2020
All My Life (feat. J. Cole),J. Cole,144565150,2023
All My Life (feat. J. Cole),Lil Durk,144565150,2023
Say Yes To Heaven,Lana Del Rey,127567540,2023
Snooze,SZA,399686758,2022
Summertime Sadness,Lana Del Rey,983637508,2011
Take Two,BTS,118482347,2023
Lover,Taylor Swift,882831184,2012
Too Many Nights (feat. Don Toliver & with Future),Future,286400165,2022
Too Many Nights (feat. Don Toliver & with Future),Metro Boomin,286400165,2022
Too Many Nights (feat. Don Toliver & with Future),Don Toliver,286400165,2022
Chemical,Post Malone,172825906,2023
Mockingbird,Eminem,1241559043,2004
New Jeans,NewJeans,29562220,2023
Primera Cita,Carin Leon,77309611,2022
Cold Heart - PNAU Remix,Dua Lipa,1605224506,2017
Cold Heart - PNAU Remix,Elton John,1605224506,2017
Cold Heart - PNAU Remix,Pnau,1605224506,2017
Dandelions,Ruth B.,1116995633,2017
Bones,Imagine Dragons,838079900,2021
Set Fire to the Rain,Adele,1163620694,2011
Money Trees,Kendrick Lamar,1093605526,2012
Money Trees,Jay Rock,1093605526,2012
Tak Segampang Itu,Anggi Marito,179659294,2022
LAGUNAS,Jasiel Nu??ez,39058561,2023
LAGUNAS,Peso P,39058561,2023
Mine (Taylor's Version),Taylor Swift,36912123,2023
Everybody Wants To Rule The World,Tears For Fears,1205951614,1985
No Role Modelz,J. Cole,1791000570,2014
Tattoo,Loreen,201660859,2023
Rara Vez,Taiu,248088961,2023
Rara Vez,Milo j,248088961,2023
VAGABUNDO,Sebastian Yatra,90839753,2023
VAGABUNDO,Manuel Turizo,90839753,2023
VAGABUNDO,Be??,90839753,2023
august,Taylor Swift,607123776,2020
LUNA,Junior H,55842345,2023
LUNA,Peso Pluma,55842345,2023
Miracle (with Ellie Goulding),Calvin Harris,211050784,2023
Miracle (with Ellie Goulding),Ellie Goulding,211050784,2023
Nonsense,Sabrina Carpenter,342897938,2022
Que Vuelvas,Carin Leon,2762,2022
Que Vuelvas,Grupo Frontera,2762,2022
Por las Noches,Peso Pluma,330346424,2021
Feliz Cumplea??os Fe,Feid,601863821,2022
Can't Hold Us (feat. Ray Dalton),Ray Dalton,1953533826,2011
Can't Hold Us (feat. Ray Dalton),Ryan Lewis,1953533826,2011
Can't Hold Us (feat. Ray Dalton),Macklemore,1953533826,2011
Watermelon Sugar,Harry Styles,2322580122,2019
lovely - Bonus Track,Billie Eilish,2355719893,2017
lovely - Bonus Track,Khalid,2355719893,2017
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56",Rauw Alejandro,66902503,2023
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56",Bizarrap,66902503,2023
Queencard,(G)I-DLE,96273746,2023
OMG,NewJeans,430977451,2023
Radio,Lana Del Rey,284819874,2011
"Shakira: Bzrp Music Sessions, Vol. 53",Shakira,721975598,2023
"Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap,721975598,2023
505,Arctic Monkeys,1217120710,2007
"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)",Swae Lee,109276132,2023
"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)",A Boogie Wit da Hoodie,109276132,2023
"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)",Metro Boomin,109276132,2023
"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)",NAV,109276132,2023
Trance (with Travis Scott & Young Thug),Travis Scott,276259178,2022
Trance (with Travis Scott & Young Thug),Young Thug,276259178,2022
Trance (with Travis Scott & Young Thug),Metro Boomin,276259178,2022
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")",Sachin-Jigar,54225632,2023
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")",Shadab Faridi,54225632,2023
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")",Altamash Faridi,54225632,2023
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")",Amitabh Bhattacharya,54225632,2023
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")",Varun Jain,54225632,2023
Perfect,Ed Sheeran,2559529074,2017
Romantic Homicide,d4vd,681583126,2022
Believer,Imagine Dragons,2594040133,2017
Novo Balan?,Veigh,81102253,2023
Novo Balan?,Bvga Beatz,81102253,2023
Novo Balan?,Supernova Ent,81102253,2023
Novo Balan?,Prod Malax,81102253,2023
"Gol Bolinha, Gol Quadrado 2",Mc Pedrinho,11956641,2023
"Gol Bolinha, Gol Quadrado 2",DJ 900,11956641,2023
Without Me,Eminem,1687664027,2002
QUEMA,Sog,11599388,2023
QUEMA,Ryan Castro,11599388,2023
QUEMA,Peso Pluma,11599388,2023
Stargirl Interlude,The Weeknd,611700552,2016
Stargirl Interlude,Lana Del Rey,611700552,2016
Ojitos Lindos,Bomba Est??reo,1133865788,2022
Ojitos Lindos,Bad B,1133865788,2022
Somewhere Only We Know,Keane,1089402494,2004
Those Eyes,New West,411747614,2019
El Gordo Trae El Mando,Chino Pacas,255932395,2023
Mi Bello Angel,Natanael Cano,31873544,2023
Bye,Peso Pluma,95053634,2023
Danza Kuduro,Don Omar,1279434863,2010
Danza Kuduro,Lucenzo,1279434863,2010
Nosso Quadro,Ana Castela,233801632,2023
Nosso Quadro,AgroPlay,233801632,2023
Locked Out Of Heaven,Bruno Mars,1481349984,2012
Un Finde | CROSSOVER #2,Big One,142095275,2023
Un Finde | CROSSOVER #2,FMK,142095275,2023
Un Finde | CROSSOVER #2,Ke personajes,142095275,2023
Jimmy Cooks (feat. 21 Savage),Drake,618885532,2022
Jimmy Cooks (feat. 21 Savage),21 Savage,618885532,2022
